	English	Japanese (日本語)	Vietnam	Portuguese	Russian	Spanish	French	German	Turkish	Korean	Chinese Simplified	Chinese Traditional
13015	Please log in to see your ranking	Please log in to see your ranking	Please log in to see your ranking	Please log in to see your ranking	Please log in to see your ranking	Inicia sesión para ver tu clasificación	Please log in to see your ranking	Bitte logge dich ein um deinen Rank zu sehen	Sıralamanı görebilmek için giriş yapmanız gerekmektedir.			
//Feedback												
14001	Do you enjoy playing this game?	Do you enjoy playing this game?	Bạn thấy chơi có vui không nè?	Você se diverte jogando este jogo?	Вам нравится наша игра?	¿Te está gustando jugar a este juego?	Est-ce que vous vous amusez bien ?	Gefällt ihnen dieses Spiel?	Oyunu sevdiniz mi?			
14002	Thank you. Do you want to leave a review for us?	Thank you. Do you want to leave a review for us?	Cám ơn nhé. Bạn có nhận xét gì không?	Obrigado! Você gostaria de deixar uma avaliação para nós na App Store?	Спасибо. Вы хотите оставить отзыв для нас?	Gracias. ¿Quieres dejar un comentario para nosotros en App store?	Merci. Voulez-vous laisser une critique sur l'App store ?	Danke! Möchtest du eine Bewertung im App store hinterlassen?	Teşekkürler!  Uygulama mağazasında bize olumlu bir yorum bırakmak ister misiniz?			
14003	Thanks for your feedback. What can we do better ?	Thanks for your feedback. What can we do better ?	Cảm ơn đã phản hồi. Bạn muốn cải thiện phần nào nè?	Obrigado pelo seu feedback. O que podemos melhorar?	Спасибо за ваш отзыв. Что мы можем улучшить?	Gracias por sus comentarios. Qué podemos mejorar?	Merci pour votre feedback. Que pouvons-nous améliorer ?	Danke für dein Feedback. Was können wir verbessern?	Geri bildiriminiz için teşekkür ederiz! Daha iyi olmak için ne yapabiliriz?			
14004	Please type your suggestions here	Please type your suggestions here	Ghi gợi ý của bạn vào đây	Por favor, digite suas sugestões aqui	Введите свои предложения сюда	Por favor escriba sus sugerencias aquí	Tapez vos suggestions ici	Bitte trage hier deine Frage ein	Tavsiyelerinizi buraya yazınız.			
14005	Please type your mail here	Please type your mail here	Please type your suggestions here	Por favor, digite seu e-mail aqui	Укажите свой адрес эл. почты здесь	 Por favor escriba su correo aquí	Entrez votre adresse mail ici	Bitte trage hier deine Mail ein	Lütfen buraya mailinizi yazınız.			
14006	Q: Why does Tap Tap Reborn use Youtube Songs? \nA: Licensing poupular songs may cost millions of dollars. We're just small indie team/Tap Tap Revenge fans and can't afford to pay such amount.That's why we are using Youtube public API to stream music into the game	Q: Why does Tap Tap Reborn use Youtube Songs? \nA: Licensing poupular songs may cost millions of dollars. We're just small indie team/Tap Tap Revenge fans and can't afford to pay such amount.That's why we are using Youtube public API to stream music into the game	Q: Why does Tap Tap Reborn use Youtube Songs? \nA: Licensing poupular songs may cost millions of dollars. We're just small indie team/Tap Tap Revenge fans and can't afford to pay such amount.That's why we are using Youtube public API to stream music into the game	Q: Por que Tap Tap Reborn usa músicas do YouTube? \n A: O licenciamento de musicas popular podem custar milhões de dólares.	В: Почему Tap Tap Reborn использует Youtube Songs? \nО: Лицензии на популярные песни могут стоить миллионы долларов. А мы просто маленькая независимая команда любителей Tap Tap Revenge, и столько денег у нас нет. Поэтому мы берем музыку для игры с помощью общедоступного API Youtube.	P: ¿Por qué Tap Tap Reborn utiliza canciones de Youtube? \ NA: Licenciar canciones poupulares puede costar millones de dólares. Somos apenas pequeños fans del equipo indie / Tap Tap Revenge y no podemos permitirnos el lujo de pagar esa cantidad. Es por eso que estamos usando la API pública de Youtube para transmitir música en el juego	Q: Pourquoi Tap Tap Reborn utilise-t-il les chansons de Youtube? \nA: Les chansons sous licence peuvent coûter des millions de dollars. Nous ne sommes que de petits fans de Tap Tap Revenge et ne pouvons pas payer ce montant. C'est pourquoi nous utilisons l'API publique de Youtube	Q: Warum verwendet Tap Tap Reborn Youtube Songs? \nA: Lizensen von berühmten Songs können Millionen von Dollar kosten. Wir sind ein kleines Team aus Tap Tap Revenge Fans und können uns es daher nicht leisten diese Summe zu investieren. Deshalb verwenden w	S:Tap Tap Reborn neden Youtube'dan şarkı açıyor? \nC: Popüler şarkıları lisanslamak milyonlarca dolar tutabiliyor. Biz sadece küçük bir bağımsız geliştirici grubuyuz, ve bu miktarı ödememiz mümkün değil. Bu yüzden müzik göstermek için Youtube Public API'yı kullanıyoruz.			
14007	Q: Why does Tap Tap Reborn use Youtube Songs? \nA: Licensing poupular songs may cost millions of dollars. We're just small indie team/Tap Tap Revenge fans and can't afford to pay such amount.That's why we are using Youtube public API to stream music into the game	Q: Why does Tap Tap Reborn use Youtube Songs? \nA: Licensing poupular songs may cost millions of dollars. We're just small indie team/Tap Tap Revenge fans and can't afford to pay such amount.That's why we are using Youtube public API to stream music into the game	Q: Why does Tap Tap Reborn use Youtube Songs? \nA: Licensing poupular songs may cost millions of dollars. We're just small indie team/Tap Tap Revenge fans and can't afford to pay such amount.That's why we are using Youtube public API to stream music into the game	Q: Por que Tap Tap Reborn usa músicas do YouTube? \n A: O licenciamento de musicas populares podem custar milhões de dólares. Nós somos apenas um pequeno time independente/ Fãs de Tap Tap Revenge não podem pagar tal quantia. Por isso nós estamos usando uma API pública do YouTube para transmitir a música dentro do jogo.	В: Почему Tap Tap Reborn использует Youtube Songs? \nО: Лицензии на популярные песни могут стоить миллионы долларов. А мы просто маленькая независимая команда любителей Tap Tap Revenge, и столько денег у нас нет. Поэтому мы берем музыку для игры с помощью общедоступного API Youtube.	P: ¿Por qué Tap Tap Reborn utiliza canciones de Youtube? \ NA: Licenciar canciones poupulares puede costar millones de dólares. Somos sólo un pequeño equipo indie / Tap Tap Revenge y no podemos permitirnos pagar una cantidad tan alta.Por eso estamos usando Youtube API pública para transmitir música en el juego.	Q: Pourquoi Tap Tap Reborn utilise-t-il les chansons de Youtube? \nA: Les chansons sous licence peuvent coûter des millions de dollars. Nous ne sommes que de petits fans de Tap Tap Revenge et ne pouvons pas payer ce montant. C'est pourquoi nous utilisons l'API publique de Youtube	Q: Warum verwendet Tap Tap Reborn Youtube Songs? \nA: Lizensen von berühmten Songs können Millionen von Dollar kosten. Wir sind ein kleines Team aus Tap Tap Revenge Fans und können uns es daher nicht leisten diese Summe zu investieren. Deshalb verwenden w	S:Tap Tap Reborn neden Youtube'dan şarkı açıyor? \nC: Popüler şarkıları lisanslamak milyonlarca dolar tutabiliyor. Biz sadece küçük bir bağımsız geliştirici grubuyuz, ve bu miktarı ödememiz mümkün değil. Bu yüzden müzik göstermek için Youtube Public API'yı kullanıyoruz.			
//Calibration												
15001	Please sync timing of the explosion effect to the sound	Please sync timing of the explosion effect to the sound	Please sync timing of the explosion effect to the sound	Por favor, sincronize o tempo do efeito de explosão ao som	Синхронизируйте эффект взрыва со звуком	Porfavor sincronice el efecto de la explosión con el sonido	Veuillez synchroniser les effets sonores avec les animations	Bitte synchronisiert das Timing des Explosionseffekts auf den Klang	Ding sesiyle dokunma şeysinin senkronize çalışana kadar ayarlayınız.			
15002	Move notes lower	Move notes lower	Dịch nốt xuống	Mover notas mais baixo	Опустить ноты	Mover notas más abajo	Descendre les notes	Noten niedriger setzen	Notaları aşağı al			
15003	Move notes higher	Move notes higher	Dịch nốt lên	Mover notas mais alto	Поднять ноты	 Mover notas más alto	Monter les notes	Noten höher setzen	Notaları yukarı al			
15004	Reset	Reset	Thiết lập lại	Resetar	Сбросить	Reiniciar	Réinitialiser	Zurücksetzen	Reset			
15005	Save & Exit	Save & Exit	Lưu và thoát	Salvar e sair	Сохранить и выйти	Guardar y salír	Sauvegarder & Quitter	Speichern & Beenden 	Kaydet & Çık			
//Quest												
16001	Daily	Daily	Hằng ngày	Diariamente	Ежедн.	Diariamente 	Quotidien	Täglich	Günlük			
16002	Mission	Mission	Cao cấp	Mission	Mission	Misión	Mission	Mission	Görev			
16003	Complete a song at hard level with 100% hit rate	Complete a song at hard level with 100% hit rate	Hoàn thành một bài hát ở mức độ khó khăn với 100% tỷ lệ trúng	Complete uma música a nível duro com taxa de acerto de 100%	Завершите песню на жестком уровне 100% хит ставки	Completa una canción a nivel difícil con una tasa de éxito del 100%	Terminez une chanson au niveau dur avec 100% de taux de succès	Beende einen Song auf Einfach mit 5 Sternen	Zorluk seviyesi zor olan bir şarkıyı %100 vuruş oranıyla bitir			
16004	Complete a song at normal level with 100% hit rate	Complete a song at normal level with 100% hit rate	Hoàn thành một bài hát ở mức bình thường với 100% tỷ lệ trúng	Complete uma música a nível normal, com taxa de acerto de 100%	Завершите песню на нормальном уровне 100% хит ставки	Completa una canción a nivel normal con una tasa de éxito del 100%	Terminez une chanson au niveau normal avec 100% de taux de succès	Beende einen Song auf Normal mit 5 Sternen	Zorluk seviyesi normal olan bir şarkıyı %100 vuruş oranıyla bitir			
16005	Complete a song at easy level with 100% hit rate	Complete a song at easy level with 100% hit rate	Hoàn thành một bài hát ở mức độ dễ dàng với 100% tỷ lệ trúng	Complete uma canção em fácil nível com taxa de acerto de 100%	Завершите песню на легком уровне с 100% хит ставки	Completa una canción a un nivel fácil con una tasa de éxito del 100%	Terminez une chanson au niveau facile avec 100% de taux de succès	Beende einen Song auf Einfach mit 5 Sternen	Zorluk seviyesi kolay olan bir şarkıyı %100 vuruş oranıyla bitir.			
16006	Complete all difficulty levels of a song with 5 stars	Complete all difficulty levels of a song with 5 stars	Hoàn thành tất cả mức độ khó khăn của một bài hát với 5 sao	Complete todos os níveis de dificuldade de uma música com 5 estrelas	Заполните все уровни сложности из песни с 5 звездами	Completa todos los niveles de dificultad de una canción con 5 estrellas	Terminez tous les niveaux de difficulté d'une chanson avec 5 étoiles	Beende einen Song auf allen Schwierigkeitsstufen mit 5 Sternen	Bir şarkının tüm zorluk seviyelerini 5 yıldızla bitir			
16007	Invite friends via Facebook	Invite friends via Facebook	Mời bạn bè qua Facebook	Convidar amigos via Facebook	Пригласить друзей через Facebook	Invitar amigos a través de Facebook	Invitez des amis via Facebook	Laden sie Freunde über Facebook ein	Facebook aracılığıyla arkadaşlarınızı davet edin			
16008	Achieve Level 3	Achieve Level 4	Đạt Level 3	Atingir o nível 3	Достижение уровня 3	Alcanza el Nivel 4	Atteindre le niveau 3	Erreiche Level 3	Seviye 3 ol			
16009	Achieve Level 5	Achieve Level 6	Đạt Level 5	Atingir o nível 5	Достижение уровня 5	Alcanza el Nivel 6	Atteignez le niveau 5	Erreiche Level 5	Seviye 5 ol			
16010	Achieve Level 10	Achieve Level 11	Đạt tới mức 10	Atingir o nível 10	Достичь уровня 10	Alcanza el Nivel 11	Atteignez le niveau 10	Erreiche Level 10	Seviye 10 ol			
16011	Achieve Level 15	Achieve Level 16	Đạt Level 15	Atingir o nível 15	Достичь уровня 15	Alcanza el Nivel 16	Atteignez le niveau 15	Erreiche Level 15	Seviye 15 ol			
16012	Achieve Level 20	Achieve Level 21	Đạt tới mức 20	Atingir o nível 20	Достичь уровня 20	Alcanza el Nivel 21	Atteignez le niveau 20	Erreiche Level 20	Seviye 20 ol			
16013	Possess 1 premium song	Possess 1 premium song	Sở hữu 1 bài premium	Possuir uma canção prémio	Обладают 1 премиальную песню	Poseer 1 canción premium	1 chanson possède premium	Verfügen 1 Premium-Song	1 premium şarkının kilidini aç			
16014	Possess 3 premium song	Possess 3 premium song	Sở hữu 3 bài premium	Possuir 3 Música Premium	Обладает 3 премию песни	Posee 3 canciones premium	3 chanson possède premium	Verfügen 3 Premium Song	3 premium şarkının kilidini aç			
16015	Possess 5 premium song	Possess 5 premium song	Sở hữu 5 bài premium	Possuir 5 Música Premium	Обладает 5 премиум песни	 Posee 5 canciones premium	5 chanson possède premium	Verfügen 5 Premium Song	5 premium şarkının kilidini aç			
16016	Possess 10 premium song	Possess 10 premium song	Sở hữu 10 bài premium	Possuir 10 canção prémio	Обладает 10 премиум песни	 Posee 10 canciones premium	10 chanson possède premium	Verfügen 10 Premium-Song	10 premium şarkının kilidini aç			
16017	Have 5 friends In game	Have 5 friends In game	Có 5 bạn bè Trong trò chơi	Tem 5 amigos no jogo	Есть 5 друзей в игре	Tener 5 amigos en juego	Avoir 5 amis dans le jeu	Habe 5 Freunde im Spiel	Oyunda 5 tane arkadaşın olsun			
16018	Have 10 friends In game	Have 10 friends In game	Có 10 người bạn Trong trò chơi	Tem 10 amigos no jogo	Есть 10 друзей в игре	Tener 10 amigos en juego	Avoir 10 amis dans le jeu	Habe 10 Freunde in Spiel	Oyunda 10 tane arkadaşın olsun			
16019	Have 20 friends In game	Have 20 friends In game	Có 20 bạn bè Trong trò chơi	Tem 20 amigos no jogo	Есть 20 друзей в игре	Tener 20 amigos en juego	Avoir 20 amis dans le jeu	Habe 20 Freunde in Spiel	Oyunda 20 tane arkadaşın olsun			
16020	Achieve 5 stars in a song	Achieve 5 stars in a song	Đạt được 5 sao trong một bài hát	Alcançar 5 estrelas em uma canção	Достижение 5 звезд в песне	Alcanzar 5 estrellas en una canción	Atteindre 5 étoiles dans une chanson	Erzielen Sie 5 Sterne in einem Song	Bir şarkıyı 5 yıldız ile bitir			
16021	Finish 3 songs	Finish 3 songs	Kết thúc 3 bài hát	Termine 3 músicas	Закончите 3 песни	Completar 3 canciones	Terminer 3 chansons	Beenden 3 Songs	3 şarkı bitir			
16022	Achieve an x8 combo in a song	Achieve an x8 combo in a song	Đạt được kết hợp x8 trong một bài hát	Alcançar uma combinação x8 em uma canção	Достичь x8 комбо в песне	Lograr un combo x8 en una canción	Atteindre un combo x8 dans une chanson	Erreiche eine 8x Combo in einem Song	Bir şarkıda 8x çarpanını aktfileştirin			
16023	Complete the Song with 100% hit rate	Complete the Song with 100% hit rate	Hoàn thành Song với 100% tỷ lệ trúng	Complete a canção com taxa de acerto de 100%	Заполните композицию с 100% хит ставки	Completa la canción con una tasa de 100%	Remplissez le morceau avec 100% de taux de succès	Beende einen Song mit 100% Trefferqote	%100 vuruş oranı ile bir şarkıyı bitirin			
16024	Locked	Locked	Locked	Locked	Locked	Bloqueado	Locked	Gesperrt	Kilitli			
16025	Completed	Completed	Completed	Completed	Completed	Completado	Completed	Abgeschlossen	Tamamlandı			
//Mobile network service												
17001	Send	Send	Gửi	Enviar	Отправить	Enviar	Envoyer	Senden	Gönder			
17002	Restore payment	Restore payment	Khôi phục thanh toán	Restaurar pagamento	Восстановить платеж	Restaurar pago	Rétablir paiement	Einkäufe wiederherstellen	Satın almayı yenile			
17003	Select network	Select network	Chọn mạng	Selecionar rede	Выбрать сеть	Seleccione la red	Choisir réseau	Netzwerk auswählen	Ağ seç			
17004	Serial number	Serial number	Số serial	Número de série	Серийный номер	Número de serie	Numéro de série	Seriennummer	Seri numara			
17005	Card number	Card number	Số thẻ	Número do cartão	Номер карты	Número de tarjeta	Numéro de carte	Kartennummer	Kart Numarası			
17006	Mobile Network Service	Mobile Network Service	Dịch vụ mạng di động	Serviço de rede móvel	Услуги мобильной сети	Servicio de red móvil	Réseau mobile	Mobiler Netzwerkservice 	Mobil Ağ Servisi			
17007	Send SMS or Card to get Ruby	Send SMS or Card to get Ruby	Gửi SMS hoặc mã số thẻ để nhận Ruby	Enviar SMS ou cartão para obter Ruby	Отправьте SMS или карту, чтобы получить Рубин	Enviar SMS o Tarjeta para obtener Rubí	Envoyer SMS ou Carte pour gagner des Rubis	Sende eine SMS oder bezahle mit Karte um Rubine zu erhalten	Elmas almak için SMS veya kart gönder			
//Local push												
18001	Conquer daily and Tap Tap quests to earn rewards	Conquer daily and Tap Tap quests to earn rewards	Chinh phục hết nhiệm vụ để nhận thưởng	Conquistar diariamente missões Tap Tap para ganhar recompensas	Проходите ежедневные задания и задания Tap Tap и получайте призы	Conquiste diariamente las misiones de Tap Tap para ganar recompensas	Conquer daily and Tap Tap quests to earn rewards	Erhalte tägliche Tap Tap Aufgaben und verdiene Preise	Conquer daily and Tap Tap quests to earn rewards			
18002	Purchase Ruby in Shop to unlock more premium songs	Purchase Ruby in Shop to unlock more premium songs	Mua Ruby trong cửa hàng để mở khóa các bài premium	Compre Ruby na loja para desbloquear mais músicas premium	Покупайте рубины в магазине, чтобы открыть новые премиум-песни	Compra Rubí en la Tienda para desbloquear más canciones premium	Acheter Ruby Shop pour débloquer plus de chansons de prime	Kaufe Rubin im Shop um mehr Premium Songs freizuschalten	Mağazadan elmas al, bu elmasla premium şarkıları açabilirsin.			
18003	Come back and receive your daily reward	Come back and receive your daily reward	Nhớ quay lại để nhận phần thưởng mỗi ngày nhé!	Volte e receba sua recompensa diária	Возвращайтесь и получите награду дня	Vuelve y recibe tu recompensa diaria	Venez récupérer votre récompense du jour	Komm zurück und hole deine Tägliche Belohnung	Yine gel ve günlük ödülünü al.			
18004	Invite friends to have more fun together and obtain extra Ruby	Invite friends to have more fun together and obtain extra Ruby	Mời bạn bè vào chơi chung cho vui và kiếm Ruby nào!	Convide amigos para ter mais diversão juntos e obter Ruby extra	Пригласите друзей, с ними веселее, да и рубины можно получить	Invite a sus amigos a divertirse juntos y obtenga Rubí extra	Invitez vos amis pour avoir plus de fun et gagnez des Rubis en plus	Lade einen Freund ein um zusammen mehr Spaß zu haben und erhalte Extra Rubine	Arkadaşlarını davet et ki, birlikte eğlenin ve fazladan Elmas kazanın.			
18005	Let the music fill your day with joy	Let the music fill your day with joy	Hãy để âm nhạc lấp đầy tâm hồn và mang đến niềm vui cho bạn	Deixe a música encher seu dia de alegria	Дайте музыке наполнить ваш день радостью	Deja que la música llene tu día de alegría	Laissez la musique remplir votre journée de plaisir	Lass die Musik deinen Tag mit freunde füllen	Müziğin gününü neşelendirmesine izin ver			
18006	The higher the level, the more songs you have	The higher the level, the more songs you have	Level càng cao, bài hát càng nhiều	Quanto maior o nível, mais músicas você tem	Чем выше ваш уровень, тем больше у вас песен	Cuanto más alto sea el nivel, más canciones tendrá	Vous débloquez plus de chansons en montant de niveau	Um so höher das Level, um so mehr Songs hast du	Ne kadar yüksek seviye, o kadar çok şarkı.			
18007	More songs are waiting for you to unlock	More songs are waiting for you to unlock	Hàng loạt bài hát đang chờ đón bạn	Mais músicas estão esperando para você desbloquear	Новые песни ждут, когда вы их откроете	Más canciones te están esperando por desbloquear 	Plus de chansons attendent à être débloquées	Es warten mehr Songs zum freischalten auf dich	Diğer şarkılar senin tarafından açılmayı bekliyor.			
18008	Get it now! Big sale on VIP Pass - only 30$ - Buy it and unlock all premium charts forever	Get it now! Big sale on VIP Pass - only 30$ - Buy it and unlock all premium charts forever	Get it now! Big sale on VIP Pass - only 30$ - Buy it and unlock all premium charts forever	Obtenha agora! Grandes vendas no Passe VIP - Somente 30$ - Compre e desbloqueie todos os charts premium atuais e futuros para sempre	Get it now! Big sale on VIP Pass - only 30$ - Buy it and unlock all premium charts forever	Get it now! Big sale on VIP Pass - only 30$ - Buy it and unlock all premium charts forever	À ne pas manquer ! Offre spéciale sur le pass VIP - Seulement 30 $ - Achetez-le pour déverrouiller définitivement les classements Premium actuels et à venir	Get it now! Big sale on VIP Pass - only 30$ - Buy it and unlock all premium charts forever	Get it now! Big sale on VIP Pass - only 30$ - Buy it and unlock all premium charts forever			
//Theme												
19001	You don't have any other theme \nPurchase to experience the premium experience	You don't have any other theme \nPurchase to experience the premium experience	Bạn chưa có giao diện nào cả \nMua ngay cho nóng nào!	Você não possui outro tema \nCompre para experimentar a experiência premium	У вас нет других тем \nКупите их для новых ощущений от игры	No tienes ningún otro tema, Compra para experimentar la experiencia Premium 	Vous n'avez pas d'autre thème \nAchetez-en pour vivre l'expérience premium	Du hast keinen anderen Hintergrund \n Kaufe Premium um alle Vorteile zu erleben	Başka bir teman yok \nBurayı açmak için bir tema satın almalısıb.			
19002	Preview	Preview	Xem trước	Visualizar	Предпросмотр	Avance	Aperçu	Vorschau	Önizle			
19003	What theme would you like to choose	What theme would you like to choose	Bạn muốn chọn giao diện nào?	Qual tema você gostaria de escolher?	Какую тему вы хотели бы выбрать?	¿Qué tema te gustaría elegir?	Quel thème voulez-vous choisir	Welchen Hintergrund würdest du gerne wählen	Hangi temayı seçmek istersiniz?			
19004	More Theme	More Theme	More Theme	Compre mais	Купить еще	Comprar más	Acheter plus	Kaufe mehr	Daha fazla satın al			
19005	You have bought {0} successfully	You have bought {0} successfully	Mua {0} thành công	Você comprou {0} com sucesso	Вы купили: {0}	Has comprado {0} correctamente	Vous avez acheté {0} avez succès	Du hast erfolgreich {0} gekauft	Başarılı bir şekilde {0} aldınız.			
19006	Enjoy your new theme!	You have bought {0} successfully	Tận hưởng giao diện mới!	Aproveite seu novo tema!	Хорошей игры с новой темой!	Has comprado {0} correctamente	Profitez bien de votre nouveau thème !	Genieße deinen neuen Hintergrund!	Yeni teman hayırlı olsun!			
19007	CHOOSE THEME	CHOOSE THEME	CHOOSE THEME	CHOOSE THEME	CHOOSE THEME	Escoge un Tema	CHOOSE THEME	Wähle Hintergrund	TEMA SEÇ			
//Tutorial Popup												
20000	Tap the pads when ball arrives	Tap the pads when ball arrives	Chạm vào nút khi nốt bay đến	Tap no círculo quando a bola chegar	Нажимайте на кружок, когда до него доходит шар	Toque el circulo cuando llegue la pelota	Touchez les blocks quand la boule arrive	Tippe auf die Flächen wenn der Ball angekommen ist	Top geldiğinde dokunma şeysine tıkla			
20001	Tap and hold the ball with long tails to score more	Tap and hold the ball with long tails to score more	Chạm và giữ đối với nốt dài để được nhiều điểm hơn	Tap e segure a bola com caudas para pontuar mais	Нажмите на мяч с длинным хвостом и удерживайте, чтобы набрать больше очков	Toque y mantenga la pelota con notas largas para anotar más puntos	Touchez et laissez appuyé sur le boules avec une traînée pour marquer plus de points	Tippe und halte die Bälle mit langen Flächen um mehr Punkte zu erzielen	Kuyruklu top geldiğinde bas ve basılı tut			
20002	Get Started!	Get Started!	Bắt đầu	Iniciar!	Поехали!	Comienzar!	Commencer !	Starten	Hazır ol!			
20003	Tap the balls in the middle of the pad to score a PERFECT	Tap the balls in the middle of the pad to score a <color=lime>PERFECT</color>	Tap the balls in the middle of the pad to score a <color=lime>PERFECT</color>	Tap as bolas no centro do círculo para marcar um PERFEITO	Жмите на шар, когда он на середине платформы, чтобы получить ОТЛИЧНО	Presione las pelotas en el centro de la almohadilla para anotar un <color = lime> PERFECT </ color>	Touchez la boule au milieu du block pour avoir un PERFECT	Tippe auf die Fläche wenn die Bälle in der mitte der Fläche sind, um einen perfekten Punktestand zu erzielen	Toplara tam geldiğinde kaçırmadan bas, tam skor elde et.			
20004	OK	OK	OK	OK	OK	OK	OK	OK	OK			
20005	Let's start tutorial now	Let's start tutorial now	Let's start tutorial now	Let's start tutorial now	Let's start tutorial now	Let's start tutorial now	Let's start tutorial now	Let's start tutorial now	Let's start tutorial now			
20006	Let's practice	Let's practice	Let's practice	Let's practice	Let's practice	Let's practice	Let's practice	Let's practice	Let's practice			
20007	Try again	Try again	Try again	Try again	Try again	Try again	Try again	Try again	Try again			
20008	Do you want to exit tutorial?	Do you want to exit tutorial?	Do you want to exit tutorial?	Do you want to exit tutorial?	Do you want to exit tutorial?	Do you want to exit tutorial?	Do you want to exit tutorial?	Do you want to exit tutorial?	Do you want to exit tutorial?			
20009	You have finished the tutorial!	You have finished the tutorial!	You have finished the tutorial!	You have finished the tutorial!	You have finished the tutorial!	You have finished the tutorial!	You have finished the tutorial!	You have finished the tutorial!	You have finished the tutorial!			
//WelcomeNewUser												
30000	Let us show you the tutorial	Let us show you the tutorial	Hãy để chúng tôi giới thiệu cho bạn hướng dẫn	Deixe-nos mostrar o tutorial	Покажем вам учебник	Permítanos mostrarle el tutorial	Laissez-nous vous montrer le tutoriel	Lassen Sie uns Ihnen das Tutorial zeigen	Sana öğretiyi göstereceğim			
30001	World of Rhythm \nWelcome to Tap Tap Reborn	World of Rhythm \nWelcome to Tap Tap Reborn	Thế giới âm nhạc \nChào mừng đến với Nhạc Vui	Ritmo do Mundo \n Bem vindo ao Tap Tap Reborn	Мир ритма \nДобро пожаловать в Tap Tap Reborn	 Mundo del ritmo \ nBienvenido a Tap Tap Reborn	Monde du Rythme \nBienvenue dans Tap Tap Reborn	Welt des Rhythmus \n Wilkommen zu Tap Tap Reborn	Ritim Dünyası \nTap Tap Reborn'a hoşgeldin			
30002	I already know how to play	I already know how to play	Khỏi cần, biết chơi rồi	Eu já sei como jogar	Я уже знаю, как играть	Ya se como jugar	Je sais déjà comment jouer	Ich weiß bereits wie man spielt	Nasıl oynanacağını senden daha iyi biliyorum			
//Inactive user reward												
31001	Hey, we miss you. Here is our gift for you	Hey, we miss you. Here is our gift for you	Ấy ơi! Tui nhớ bồ lắm đó, vào game đi, có quà cho bồ á!	Hey, sentimos sua falta. Aqui está seu presente	Мы соскучились. Вот наш подарок для вас	Hey, te echamos de menos. Aquí está nuestro regalo para tí	Hey, vous nous manquez. Voici un cadeau pour vous	Hey, wir haben dich vermisst. Hier ist ein Geschenk für dich	Seni özledik. Bu hediyeyi kabul eder misin?			
31002	Hey, we miss you. Come back and claim our gift of 100 Ruby for you	Hey, we miss you. Come back and claim our gift of 100 Ruby for you	Quà của tui nè, 100 Ruby đó nha <3	Hey, sentimos sua falta. Volte e reivindique nosso presente de 100 Ruby para você	Мы соскучились. Возвращайтесь и заберите 100 подарочных рубинов	Hey, te echamos de menos. Vuelve y reclama nuestro regalo de 100 Rubí para ti	Hey, vous nous manquez. Revenez et acceptez notre cadeau de 100 Rubis	Hey, wir haben dich vermisst. Komm zurück und erhalte 100 Rubine als Geschenk	Seni özledik. Eğer geri gelirsen sana 100 ruby vereceğiz.			
//Turn limit												
32001	Your energy has been fully replenished. Come back and enjoy	Your energy has been fully replenished. Come back and enjoy	Lượt chơi đầy rồi, vô chơi tiếp nào	Sua energia foi completamente reabastecida. Volte e divirta-se	Энергия восстановлена до максимума. Возвращайтесь к игре	Tu energía ha sido completamente restablecida. Vuelve y disfruta	Votre énergie a été remplie. Revenez jouer	Du hast deine volle Energie zurück. Komm zurück und hab Spaß	Enerjin yeniden dolduruldu.			
32002	Watch a short video to gain 5 more Energy	Watch a short video to gain 5 more Energy	Xem một đoạn quảng cáo nhỏ để nhận thêm lượt chơi nhé	Assista a um curto vídeo para ganhar 5 mais energia	Посмотрите короткое видео и получите 5 ед. энергии	Ver un vídeo corto para ganar 5 más de energía	Regardez une courte vidéo pour gagner 5 énergies	Schaue ein kurzes Video um 5 ernegie zu erhalten	Şunu izle de 5 enerji puanı al amk			
32003	You have run out of energy! \nTips: You can continue with Challenge which requires no energy	You have run out of energy! \nTips: You can continue with Challenge which requires no energy	Bạn hết lượt chơi rồi! \n Mách nhỏ: Thách đấu với bạn bè không mất lượt chơi	Você está sem energia! \nDicas: Você pode continuar a jogar com desafios, o que não requer energia	Кончилась энергия! \nСовет: Сыграйте в Испытание, для него энергия не нужна	 ¡Se ha quedado sin energía! \nConsejos: Puede continuar con Desafí que no requiere energía	Vous n'avez plus d'énergie ! \nConseil: Vous pouvez continuer à faire des défis qui ne requièrent pas d'énergie	Deine Energie ist aufgebraucht! \n Tip: Du kannst mit einer Herausforderung fortfahren, welche keine Energie verbraucht	Enerjin bitti amk! Rekabet modu enerji harcamaz, orada oyna.			
32004	Next	Next	Lượt tiếp	Próximo	След.	 Siguiente	Suivant	Nächster	Sonraki			
//Error Code IAP Unity												
33001	A purchase was already in progress	A purchase was already in progress	A purchase was already in progress	Uma compra já estava em progresso	Покупка уже обрабатывалась	Una compra ya estaba en curso	Un achat était déjà en cours	Ein Kauf ist bereits im Gange 	Bir satın alma zaten yapılıyor.			
33002	There was a problem with the payment	There was a problem with the payment	There was a problem with the payment	Houve um problema com o pagamento	Что-то пошло не так с платежом.	Hubo un problema con el pago	Il y a eu un problème avec le paiement	Es gibt ein problem mit der Bezahlung	Ödemede bir sorun oluştu.			
